artist,name
Aristophanes, Humans Become Machines
Arlie, Didya Think
Arno Faraji, destiny's
Arno Faraji, TREE'X {Ft. TONTON}
Asgeir, Unbound
Asgeir, Stardust
Asgeir, Love$ick {triple j Like A Version 2017}
Asgeir, Afterglow
Asgeir, Here Comes The Wave In
Asgeir, I Know You Know
Asgeir, Dreaming
Ash Grunwald, Hammer
Asha Jefferies, Coburg
Asta, Doin' What You Want
At The Drive-In, Governed By Contagions
At The Drive-In, Incurably Innocent
A-Trak & Baauer, Dumbo Drop
A-Trak & Baauer, Fern Gully
AURORA, Teardrop {triple j Like A Version 2017}
Avelino, 1 In A Million
Ayla, Shallow End
Ayla, Porcelain Doll
B Wise, Feel Something
Babaganouj, Star
"Babe Rainbow, The", Peace Blossom Boogy
"Babe Rainbow, The", Johny Says Stay Cool
Bad Decisions, Skins {Ft. Blake Rose}
Bad Pony, Deficiency
Bad Sounds, Are You High?
Bad//Dreems, Feeling Remains
Bad//Dreems, Gutful
BADBADNOTGOOD, God Only Knows {triple j Like A Version 2016}
BADBADNOTGOOD, I Don't Know {Ft. Samuel T. Herring}
Baio, PHILOSOPHY!
Baker Boy, Cloud 9 {Ft. Kian}
Baker Boy, Marryuna {Ft. Yirrmal}
Ball Park Music, Exactly How You Are
Ball Park Music, My Happiness {triple j Like A Version 2017}
Banff, Renew
Banks, Crowded Places
Banks, Underdog
Banoffee, Ripe
Bare Bones, Thick As Thieves
Basenji, Don't Let Go {Ft. Mereki}
Basenji, Mistakes {Ft. Tkay Maidza}
Batpiss, Paralyzed
BATTS, For Now
BAYNK, What You Need {Ft. NIKA}
BAYNK, Poolside
Beaches, Void
Bearcubs, Underwaterfall
"Beautiful Monument, The", Manifestation
Bec Sandridge, You're The Voice {triple j Like A Version 2017}
Bec Sandridge, I'll Never Want A BF
Beck, Dear Life
Beck, Up All Night
Belle Haven, Selfmade
"Belligerents, The", Flash
"Belligerents, The", Less And Less
"Belligerents, The", Science Fiction
"Belligerents, The", Sleeping For Days
Ben Wright Smith, Hellion Heeled
Benjamin Booker, Witness {Ft. Mavis Staples}
"Bennies, The", Get High Like An Angel
Benson, Trying {ft. Yeo}
Benson, Resolution {Ft. Rromarin}
Bernard Fanning, Isn't It A Pity
Beth Ditto, Fire
"Beths, The", Whatever
Betty & Oswald, Figure It Out
Bicep, Aura
Bicep, Glue
Big Boi, Kill Jill {Ft. Killer Mike & Jeezy}
Big K.R.I.T., Aux Cord
"Big Moon, The", Formidable
"Big Moon, The", Sucker
Big Scary, Come As You Are {triple j Like A Version 2017}
Big Sean, Light {Ft. Jeremih}
Big Shaq, Man's Not Hot
Big Thief, Mythological Beauty
Big Wild, I Just Wanna
Big Wild, Show Me {Ft. Hundred Waters}
Billie Eilish, Bellyache
Billie Eilish, watch
Billy Davis, Goldfish {Ft. Denzel Curry}
Billy Fox, Taste
Birdz, Djapana (Sunset Dreaming) {triple j Like A Version 2017}
Birdz, This Side {Ft. Serina Pech}
Bishop Briggs, Monday {triple j Like A Version 2017}
Bishop Briggs, Dream
Biyo, Fantasies
Bjork, Arisen My Senses
Black Honey, Dig
Black Lips, Can't Hold On
Black Summer, Young Like Me {Ft. Lowell}
Blaenavon, Orthodox Man
Blaenavon, Prague '99
BlaqCarrie, Lemme Ride
"Blaze, The", Territory
"Blaze, The", Juvenile
Bleached, Can You Deal?
Bleachers, Don't Take The Money
Bleachers, I Miss Those Days
Bleeding Knees Club, Chew The Gum
BLESSED, Fairytale
BLESSED, My World
Blink-182, Parking Lot
Bliss N Eso, Friend Like You {Ft. Lee Fields}
Bliss N Eso, Moments {Ft. Gavin James}
Bliss N Eso, Tear The Roof Off {Ft. Watsky}
Blondebears, Dissolve
Bloods, Bug Eyes
"Bloody Beetroots, The + Jet", My Name Is Thunder
Blue Hawaii, No One Like You
BNQT, Restart
Boat Show, Cis White Boy
Boat Show, The Big Smoke
Boat Show, Toxic
BODY COUNT, No Lives Matter
Boilermakers, Jesus Age
Boilermakers, Warning Signs {Ft. KLP}
Bonobo, Break Apart {Ft. Rhye}
Bonobo, No Reason {Ft. Nick Murphy}
Boo Seeka, Does This Last
Boo Seeka, Turn Up Your Light
Boo Seeka, Argo Misty
Boo Seeka, Gold Sail
Boo Seeka, Humans
Boo Seeka, Calling Out
Boom Tish, Hello How Are You
Bootleg Rascal, With You
Born Lion, Evil K
BØRNS, Faded Heart
Boy Azooga, Face Behind Her Cigarette
BOYBOY, U
Braille Face, Run For Your Life
Braille Face, Faraway
Brand New, Can't Get It Out
"Brave, The", Ethereal
Breakfast Muff, R U A Feminist
"Breeders, The", Wait In The Car
"Brinks, The", Comatose
British India, Precious
British India, Midnight Homie (My Best Friends)
British India, Just Sing Like Everybody Else
British India, Take Me With You
British India, My Love
BROCKHAMPTON, GUMMY
BROCKHAMPTON, QUEER
BROCKHAMPTON, SWAMP
BROCKHAMPTON, TOKYO
BROCKHAMPTON, SWEET
BROCKHAMPTON, JELLO
BROCKHAMPTON, SUMMER
BROCKHAMPTON, JUNKY
BRONCHO, Get In My Car
"Bronx, The", Sore Throat
Brother Ali, Own Light (What Hearts Are For)
B-Town Warriors, Dreams
Buddy, Find Me
Buddy, Guillotine
Buddy, That Much
Bugs, Neighbourhood
Bully, Feel The Same
Bully, Running
Burial, Rodent
BURNS, Far Gone {Ft. Johnny Yukon & GoldLink}
Bus Vipers, CSIRO Weeds
Bus Vipers, Fluid
Butterfingers, Big Night Out
Cable Ties, The Producer
Cable Ties, Cut Me Down
Cable Ties, You Can't Hold My Hand
Cable Ties, Same For Me
Cable Ties, Say What You Mean
Cable Ties, Wasted Time
"Cactus Channel & Sam Cromack, The", Sorry Hills
"Cactus Channel & Sam Cromack, The", Do It For Nothing
Caiti Baker, Wolf
Caiti Baker, I Won't Sleep
Calvin Harris, Slide {Ft. Frank Ocean/Migos}
Calvin Harris, Rollin {Ft. Future/Khalid}
CamelPhat & Elderbrook, Cola
Cameron Avery, Wasted On Fidelity
Camp Cope, Footscray Station
Camp Cope, The Opener
Car Seat Headrest, War Is Coming (If You Want It)
Carmouflage Rose, Late Nights
Cashmere Cat, 9 (After Coachella) {Ft. MØ & SOPHIE}
Castlecomer, If I Could Be Like You
Cayetana, Mesa
Cayetana, Certain For Miles
Ceres, Stretch Ur Skin {Ft. Wil Wagner}
Chance The Rapper, Big B's {Ft. Young Thug}
Charli XCX, Boys
Chase City, A-N-X-T
Chastity Belt, Different Now
Chela, Bad Habit
Chelsea Jade, Ride Or Cry
Cherry Glazerr, Nuclear Bomb
Childish Gambino, Have Some Love
Childish Gambino, Boogieman
Childish Gambino, Zombies
Childish Gambino, California
Childish Gambino, Terrified
Chip, 34 Shots
Christian Patey, Is This Real
Christopher Port, Nobody Chose You
Chrome Sparks, Wake
Circa Waves, Fire That Burns
Circa Waves, Stuck
Citizen Kay, These Kicks {Ft. Georgia B}
City Calm Down, Blood
City Calm Down, In This Modern Land
Claptone, The Drums (Din Daa Daa) {Ft. George Kranz}
Clea, Bright Blue
Clea, Positive Paradise
Cloud Control, Rainbow City
Cloud Control, Zone (This Is How It Feels)
Cloud Control, Treetops
Cloud Control, Panopticon
Cloud Control, Lights On The Chrome
Cloud Control, Dreams {triple j Like A Version 2017}
Cloud Nothings, Things Are Right With You
Cloves, California Numb
Clovr, Cold {Ft. Amela}
Clowns, Dropped My Brain
Clowns, Pickle
Clowns, Like A Knife At A Gunfight
Coin Banks, Be Real {Ft. Atom/Danny Martin}
Coin Banks, Forgive Us {Ft. The WAAPA Gospel Choir}
Col3trane, Penelope
Cold War Kids, Love Is Mystical
Confidence Man, Bubblegum
Confidence Man, Better Sit Down Boy
"Cool Kids, The", 9:15PM {Ft. Jeremih}
Corbin, Ice Boy
Cosmo's Midnight, History
Cosmo's Midnight, Mind Off {Ft. Kudu Blue}
Courtney Barnett, How To Boil An Egg
Courtney Barnett & Jen Cloher, Numbers
Courtney Barnett & Kurt Vile, Over Everything
Courtney Barnett & Kurt Vile, Continental Breakfast
"Courtneys, The", Tour
Cousin Stizz, Headlock {Ft. Offset}
Cousin Tony's Brand New Firebird, Blaze
Cousin Tony's Brand New Firebird, Morning Person
"Creases, The", Everybody Knows
"Creases, The", Is It Love
"Creases, The", Answer To
"Creases, The", You Get What You Give {triple j Like A Version 2017}
CREO, 'Subtitles For X, Y, Z'
Crepes, Sexyland
Crepes, Mild Conversation
Crooked Colours, Flow
Crooked Colours, I Hope You Get It {Ft. Ivan Ooze}
Crooked Colours, Come Back To You
Cub Sport, O Lord
Cub Sport, Chasin'
Cub Sport, Good Guys Go
Cub Sport, Bats
Cult Of Helix, Blood
Cut Copy, Airborne
Cut Copy, Standing In The Middle Of The Field
Cut Copy, Black Rainbows
CXLOE, Tough Love
Cyhi The Prynce, Nu Africa
CyHi The Prynce, Movin' Around {Ft. ScHoolboy Q}
CyHi The Prynce, Dat Side {Ft. Kanye West}
D33J, Black Ice
D33J, Wisp {Ft. Baths}
Daggy Man, Suffer Through The Bleed
Dan Croll, Away From Today
Dan Sultan, Hold It Together
Dan Sultan, Kingdom
Dan Sultan, Drover
Danger Mouse, Chase Me {Ft. Run The Jewels/Big Boi}
Daniele Luppi & Parquet Courts, Talisa {Ft. Karen O}
Daniele Luppi & Parquet Courts, Flush {Ft. Karen O}
Danny Barwick, Flickering
Dappled Cities, Stone Men
Darius, Carried Away {Ft. E^ST}
Darts, Distance = Infinity
Daughter, Burn It Down
Dave, 100M's
Dave, No Words
David Dallas, Fit In
Day Wave, Something Here
Day Wave, Promises
"Dead Love, The", Sugarcoat
Dead!, 'Enough, Enough, Enough'
Deadlights, Invisible Hands
Deadmau5, Cat Thruster
Deafcult, Rubix
Dean Forever, Reverse
Dean Lewis, Need You Now
Dean Lewis, Lose My Mind
Dean Lewis, Mended {triple j Like A Version 2017}
Dear Seattle, Afterthought
Dear Seattle, The Meadows
Dear Seattle, Cut You Deep
Death From Above, Freeze Me
Declan McKenna, The Kids Don't Wanna Come Home
DeJ Loaf, Changes
Dena Amy & London Topaz, Your Eyes
Denzel Curry, Skywalker
Dermot Kennedy, Moments Passed
Desiigner, Outlet
Desiigner, Liife {Ft. Gucci Mane}
DEX, 4AM {Ft. Allday}
Didirri, Blind You
Didirri, Jude
Diet Cig, Barf Day
Diet Cig, Tummy Ache
DIET., Take Me
Dillon Francis, Say Less {Ft. G-Eazy}
Dillon Francis, Hello There {Ft. Yung Pinch}
Dimension, Generator
DIMITRIU, Yu
Diplo, Get It Right {Ft. MØ}
Dirty Projectors, Up In Hudson
Dirty Projectors, Cool Your Heart
"Districts, The", Ordinary Day
"Districts, The", If Before I Wake
Dizzee Rascal, Space
DJ Shadow, Systematic {Ft. Nas}
Django Django, Tic Tac Toe
DJDS, Trees On Fire {Ft. Amber Mark & Marco McKinnis}
DJDS, Why Don't You Come On {Ft. Khalid/Empress Of}
DMA's, Dawning
DOPE LEMON, Home Soon
Drake, Passionfruit
Drake, Portland {Ft. Quavo/Travis Scott}
Drake, Sacrifices {Ft. 2 Chainz/Young Thug}
Drake, Get It Together {Ft. Black Coffee/Jorja Smith}
Drake, Madiba Riddim
Drake, Blem
Drake, Signs
Dream Rimmy, Oxygen
Dream Wife, Somebody
Dream Wife, Fire
Dream Wife, Let's Make Out
Dregg, Exploring The Kardashians Through The Universe
Drug Church, Weed Pin
"Drums, The", Blood Under My Belt
Drunk Mums, Ode To Death
Drunk Mums, Hot Flush
Du Tonc, High
DUCKWRTH, MICHUUL.
Dude York, Love Is
Duke Dumont & Gorgon City, Real Life {Ft. NAATIONS}
Dumb Punts, Hyperventilating
Dumb Punts, Got It Good
Dune Rats, Don't Talk
Dune Rats, 6 Pack
Dune Rats, Demolition Derby
Dune Rats, Braindead
Dune Rats, Never Gonna Get High
Dune Rats, Like Before
Dune Rats, Counting Sheep
Dustin Tebbutt, Atlas In Your Eye (For Jasper Jones)
Dylan Joel, Hola Hola
DZ Deathrays, Shred For Summer
DZ Deathrays, Total Meltdown
E^ST, Life Goes On
Eat More Cake, Heat Of The Night
Ecca Vandal, 'Broke Days, Party Nights'
Ecca Vandal, Future Heroine
Ecca Vandal, Your Way
Ecca Vandal, Closing Ceremony
Ecca Vandal, Your Orbit {Ft. Sampa The Great}
Ecca Vandal, Cold Of The World
Ecca Vandal, Price Of Living {Ft. Dennis Lyxzén & Jason Aalon Butler}
Eduardo Muchacho, Intoxicated
Eilish Gilligan, The Feeling
Eilish Gilligan, Creature Of Habit
Eleanor Jacks, Run N Hide
Electric Guest, Back For Me
Eliott, Figure It Out
Eliza & The Delusionals, Falling Out
Eliza & The Delusionals, Deep End
Elk Road, Come Down
Elk Road, Pressure {Ft. Timberwolf}
ELKI, Beautiful Mess
elkkle, Diderot
Elle Watson, Glued
Elli Schoen, Gold Mess
Emily Wurramara, Black Boy
Emma Davis, Danger In Me
Empire Of The Sun, On Our Way Home
Empress Of, Go To Hell
Endgrain, 4 x 4
Endless Heights, Pray I Fade
Endless Heights, Come A Little Closer
Enschway & Sumthin Sumthin, I'll Wait
Enter Shikari, Live Outside
Erik Sanders, In The Air {Ft. Allday}
ESESE, Slow Down {Ft. Caseaux O.S.L.O}
Esoterik x James Crooks, Be Like You {Ft. Asta}
Essie Holt, Underwater
Evan Klar, Sleep
Evan Klar, Barefoot
Evan Klar, Deepest Creatures
Everything Everything, Big Game
Everything Everything, Can't Do
Everything Everything, Desire
Everything Everything, Night Of The Long Knives
Everything Everything, 'Good Shot, Good Soldier'
Everything Everything, Run The Numbers
Everything Everything, Ivory Tower
Everything Everything, A Fever Dream
Everything Is Recorded, Close But Not Quite {Ft. Sampha}
Everything Is Recorded, Mountains Of Gold {Ft. Sampha/Ibeyi/Wiki/Kamasi Washington}
Everything Is Recorded, Show Love {Ft. Syd/Sampha}
Eves Karydas, There For You
Exhibitionist, Hands
Exhibitionist, Motionless
Ezra Furman, Love You So Bad
Elk Road, Solid Gold {Ft. Julia Stone}
Fair Maiden, Coal
Fan Girl, Talk
Fan Girl, Disappear
Father John Misty, Ballad Of The Dying Man
Fazerdaze, Lucky Girl
Fazerdaze, Misread
Feelds, Colourblind
Feelds, Crazy Neighbours
Feels, Prior Engagement
Feist, Pleasure
Feki, Run Away
Feki, Love You Better {Ft. GLADES}
Fever Ray, To The Moon And Back
Fever Ray, A Part Of Us {Ft. Tami T}
Fiction Writer, No Rumour
Fifth Dawn, Pressure
Fight Ibis, Dorothy Deadleg
First Aid Kit, You Are The Problem Here
FISHER, Stop It
Fishing, Pleasure Dome
FKJ, Go Back Home
Fletcher Gull, Light Up
Flight Facilities, Arty Boy {Ft. Emma Louise}
Flight Facilities, Stranded {Ft. Reggie Watts/Broods/Saro}
Flint Eastwood, Queen
Floating Points, Ratio
Flower Drums, Back To Earth {Ft. Ash Hendriks}
Flowertruck, Dying To Hear
FLUIR, Only One
Flume, "My Boo {Ft. Vince Staples, Kucka} {triple j Like A Version 2016}"
Flume, Enough {Ft. Pusha T}
Flume, Hyperreal {Ft. Kučka}
Foo Fighters, Run
Foo Fighters, The Sky Is A Neighbourhood
Food Court, Slightest Brightest
Food Court, Not My Way
Food Court, Go From Here
Ford Miskin, Do It Better {Ft. Samsaruh & Theophilus London}
Foreign/National, Mombasa
Formation, A Friend
Fortunes., Focus
Fortunes., Hero Man
Foster The People, Pay The Man
Foster The People, Doing It For The Money
Foster The People, Sit Next To Me
Foster The People, SHC
Fountaineer, The Cricketers
Fountaineer, Sirens (Parts 1 & 2)
Fractures, Lowcast
Fractures, Time Frame
Fragile Animals, Home
Francesca Gonzales, Better Person
Fránçois & The Atlas Mountains, Grand Dérèglement
Frank Carter & The Rattlesnakes, Wild Flowers
Frank Ocean, Chanel
Frank Ocean, Lens
Frank Ocean, 'Biking {Ft. JAY Z/Tyler, The Creator}'
Frank Ocean, Provider
Franz Ferdinand, Always Ascending
FREAK, Cake
Fred Falke, Don't Give Up {Ft. Jake Isaac}
Freddie Gibbs, Alexys
Free Throw, Rinse. Repeat.
Frenzal Rhomb, Cunt Act
Frenzal Rhomb, School Reunion
Frenzal Rhomb, I'm Shelving Stacks (As I'm Stacking Shelves)
FROST, On My Mind {Ft. Leo Kalyan}
Future, Mask Off
Future, Incredible
Future Islands, Ran
Future Jr., Sentimental Trick
Gang Of Youths, What Can I Do If The Fire Goes Out?
Gang Of Youths, Let Me Down Easy
Gang Of Youths, Fear And Trembling
Gang Of Youths, Do Not Let Your Spirit Wane
Gang Of Youths, Achilles Come Down
Gang Of Youths, Persevere
Gang Of Youths, The Heart Is A Muscle
Gang Of Youths, 'The Deepest Sighs, The Frankest Shadows'
Gang Of Youths, Our Time Is Short
Gang Of Youths, Keep Me In The Open
Gang Of Youths, Say Yes To Life
Gang Of Youths, Blood {triple j Like A Version 2017}
Gang Of Youths, Atlas Drowned
GANZ, Whatever You Choose
Genesis Owusu, Sideways
Gengahr, Carrion
Gengahr, Mallory
George FitzGerald, Burns
George Maple, Kryptonite
George Maple, Hero
George Maple, Romancandy
George Maple, Hold Me By The Waist
George Maple, Everybody Here Wants You
George Maple, Slow Dancing
George Maple, Where You End And I Begin {Ft. Grande Marshall}
George Maple, Like You Used To
George Maple, Sweeter Than I {Ft. QTheMusic}
Georgi Kay, Scary People
Georgia, Feel It
Geowulf, Won't Look Back
Geowulf, Drink Too Much
Ghosting, One Summer 「 Spirited Away 」
Ghostpoet, Freakshow
Giraffage, Slowly {Ft. Matosic}
Giraffage, Maybes {Ft. Japanese Breakfast}
Giraffage, Green Tea
Girlpool, 123
GL, Destiny
GL, Reflect
GLADES, Dangerous
Glass Animals, Crazy {triple j Like A Version 2017}
Goat Girl, Cracker Drool
Gold Class, Twist In The Dark
Gold Class, Rose Blind
Golden Age Of Ballooning, Illusion Of Control
Golden Vessel, Tell The-Girl {Ft. Emerson Leif}
Golden Vessel, Shoulders {Ft. Elkkle/Mallrat}
Goldfrapp, Anymore
Goldfrapp, Systemagic
GoldLink, Rough Soul {Ft. April George}
GoldLink, Crew {Ft. Brent Faiyaz/Shy Glizzy}
GoldLink, Summatime {Ft. Wale/Radiant Children}
GoldLink, Meditation {Ft. Jazmine Sullivan/KAYTRANADA}
GoldLink, Pray Everyday (Survivors Guilt)
GoldLink x Hare Squead, Herside Story
Good Boy, Braap
Good Boy, Fishing With A Shotgun
"Goods, The", Make Your Move
Gordi, Heaven I Know
Gordi, On My Side
Gordi, Long Way
Gordi, All The Light We Cannot See
Gordi, Bitter End
Gordi, I'm Done {Ft. S. Carey}
Gordi, In The End {triple j Like A Version 2017}
Gorillaz, Andromeda {Ft. D.R.A.M.}
Gorillaz, Saturnz Barz {Ft. Popcaan}
Gorillaz, Ascension {Ft. Vince Staples}
Gothic Tropic, Stronger
Grace Hughes, Habit.
Grace Pitts, Cold Without You
Green Buzzard, Never Let Me Go
Green Buzzard, Dream In/Out
Grenadiers, Suburban Life
Greta Stanley, Drunk Dreams
Greta Stanley, When January Comes
Greta Stanley, Heavy Heat
Gretta Ray, Towers
Grizzly Bear, Three Rings
Grizzly Bear, Mourning Sound
Grizzly Bear, Four Cypresses
Grouplove, Remember That Night
Guerilla Toss, Betty Dreams Of Green Men
Gyroscope, Crooked Thought
H.E.R., Still Down
Haiku Hands, Not About You
HAIM, Want You Back
HAIM, Little Of Your Love
HAIM, Right Now
HAIM, Nothing's Wrong
HAIM, Ready For You
HAIM, Something To Tell You
HAIM, You Never Knew
HAIM, Kept Me Crying
HAIM, That Don't Impress Me Much {triple j Like A Version 2017}
Halsey, Eyes Closed
Halsey, Alone
Halsey, Now Or Never
Halsey, Bad At Love
Hands Like Houses, Drift
HANDSOME, Late Night Ball Game {Ft. Joyride}
"Hard Aches, The", Brain Drain
Hare Squead, Pure
Hare Squead, Flowers
"Harpoons, The", Do You Want My Love
Harvey Sutherland, Expectations
Harvey Sutherland, Coast 2 Coast
Hatchie, Try
Hatchie, Sure
Hater, Blushing
Hayden Calnin, Waves
Hayden Calnin, Collision
Hayden James, NUMB {Ft. GRAACE}
Hazel English, More Like You
Hazel English, Love Is Dead
Heaps Good Friends, Let's Hug Longer
Heaps Good Friends, Olympic Sneakers
Heaps Good Friends, I Could Eat A Full Packet Of Yo Yo's
Hellions, Adore {triple j Like A Version 2017}
Hembree, Had It All
Hey Geronimo, Bad Citizen
Hi Tom, 365 {Ft. LuvOcean}
High Tyde, Young Offenders
Highasakite, 5 Million Miles
High-tails, All The Time
Ho99o9, City Rejects
Hockey Dad, Homely Feeling
Holiday Party, I'm Still Here
Holly Throsby, Aeroplane
Holy Fuck, Bird Brains
Holy Holy, That Message
Holy Holy, True Lovers
Holy Holy, Hold Up {triple j Like A Version 2017}
Hoops, Rules
Hoops, On Top
Horror My Friend, DIYS
"Horrors, The", Machine
"Horrors, The", Something To Remember Me By
Horrorshow, Eat The Cake
Horrorshow, No Aphrodisiac {triple j Like A Version 2017}
Hot Spoke, Calm Down
Hot Water Music, Never Going Back
House Vs. Hurricane, Give It Up
Househats, All Together
HTMLflowers, Chrome Halo {Ft. Banoffee}
HTMLflowers, Friends Like That {Ft. Sui Zhen}
HTMLflowers, Frost Rose {Ft. Banoffee & Marcus Whale}
Human Buoy, 200 Days
Human Movement, I Need
Hundred Waters, Particle
Hundred Waters, Wave To Anchor
Husky, Ghost
Husky, Shark Fin
HWLS, Beta
I Know Leopard, Let Go
Ibeyi, Away Away
Iglooghost, Bug Thief
iLoveMakonnen, Love {Ft. Rae Sremmurd}
Imbi The Girl, V.I.P.
In Hearts Wake, Warcry
In Hearts Wake, Passage
In Hearts Wake, Nomad
INHEAVEN, World On Fire
Introvert, December
IV League, Change My Mind
Ivey, Out Of Time
Ivy Sole, Life {Ft. Dave B}
J Hus, Common Sense
J Hus, Bouff Daddy
J Hus, Did You See
J Hus, Plottin
J Hus, Fisherman {Ft. Mo Stack & MIST}
J Hus, Spirit
J. Cole, Immortal
J. Cole, Neighbors
J. Cole, Deja Vu
J. Cole, Change
J. Cole, False Prophets
Jack Grace, BE4UGO
Jack Grace, us
Jack Ladder & The Dreamlanders, Susan
Jack River, Fool's Gold
Jack River, Fault Line
Jack White, Battle Cry
Jackie Onassis, Palo Alto
Jade Imagine, You And I
Jai Wolf, Starlight {Ft. Mr Gabriel}
James Chatburn, Darling I Missed Your Call
Jamiroquai, Automaton
JANEVA, You And I
"Japanese House, The", Saw You In A Dream
"Japanese House, The", Somebody You Found
Jarami, Hear This
Jarrow, Cody
Jax Jones, You Don't Know Me {Ft. Raye}
Jax Jones, Instruction {Ft. Demi Lovato & Stefflon Don}
Jay Prince, Vice {Ft. Aminé}
Jay Prince, Waste No Time
Jay Som, 1 Billion Dogs
Jay Som, The Bus Song
JAY-Z, 4:44
JAY-Z, The Story Of O.J.
JAY-Z, Caught Their Eyes {Ft. Frank Ocean}
JAY-Z, Family Feud {Ft. Beyoncé}
JAY-Z, Bam {Ft. Damien Marley}
JEFFE, 'WHOEVER YOU LOVE, i'm COOL'
Jelani Blackman, Not You
Jen Cloher, Regional Echo
Jen Cloher, Forgot Myself
Jen Cloher, Sensory Memory
Jen Cloher, Shoegazers
Jen Cloher, Strong Woman
Jens Lekman, What's That Perfume You Wear?
Jeremy Neale, Dancin' & Romancin'
Jeremy Neale, Small Talk {Ft. Pool Shop}
Jess Locke, Better/Bitter
Jess Locke, Universe
Jess Locke, Drive To Drink
Jess Locke, Dangerous
Jess Locke, Paper Planes
Jess Locke, Gut Feeling
Jess Locke, Sublime Anxiety
Jesswar, Savage
"Jezabels, The", The Others
Jia Lih, Keep Talking {Ft. Hopium}
Jimblah, My Island Home
Joe Goddard, Home
Joey Bada$$, LAND OF THE FREE
Joey Bada$$, FOR MY PEOPLE
Joey Bada$$, ROCKABYE BABY {Ft. ScHoolboy Q}
